time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-16T10:21:52.240Z,36.873,-89.1216667,9.07,3.26,mw,72,40,0.2691,0.22,nm,nm60194306,2017-05-18T18:13:14.658Z,"10km W of Bardwell, Kentucky",earthquake,0.3,1.32,,16,reviewed,nm,nm
2017-05-16T09:07:15.410Z,42.1947,71.8599,10,4.6,mb,,66,1.347,1.11,us,us10008spb,2017-05-16T09:37:54.032Z,"33km S of Leninpol', Kyrgyzstan",earthquake,3.1,1.9,0.101,29,reviewed,us,us
2017-05-16T08:56:22.415Z,58.2247,-152.8036,43.4,2.5,ml,,,,0.42,ak,ak16042954,2017-05-16T09:04:42.727Z,"52km NNW of Kodiak Station, Alaska",earthquake,,1.5,,,automatic,ak,ak
2017-05-16T07:08:13.180Z,-21.9778,-176.32,172.36,4.4,mb,,123,6.765,0.51,us,us10008sp8,2017-05-16T08:22:46.040Z,"144km SW of Vaini, Tonga",earthquake,14.4,8.4,0.139,15,reviewed,us,us
2017-05-16T06:16:07.755Z,59.7992,-152.6069,79.8,2.5,ml,,,,0.57,ak,ak16042461,2017-05-16T06:30:50.884Z,"43km W of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-16T04:57:21.957Z,61.422,-149.6195,27.3,2.5,ml,,,,0.58,ak,ak16041978,2017-05-17T00:22:48.380Z,"10km S of Knik-Fairview, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2017-05-16T04:57:06.294Z,63.2617,-151.4434,3.6,2.5,ml,,,,1.18,ak,ak16041976,2017-05-16T05:04:25.046Z,"124km NNW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-16T04:20:48.637Z,59.9941,-153.8563,185,3.9,ml,,,,0.56,ak,ak16041507,2017-05-16T04:53:16.477Z,"65km ENE of Old Iliamna, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-05-16T04:03:48.060Z,12.8809,-90.1699,10,5.1,mb,,120,3.051,1.27,us,us10008sng,2017-05-17T20:13:20.040Z,"87km SSW of Acajutla, El Salvador",earthquake,5.6,1.8,0.032,312,reviewed,us,us
2017-05-16T03:56:27.240Z,12.7805,145.1188,65.48,5.6,mb,,66,0.84,1.11,us,us10008snf,2017-05-17T15:32:59.040Z,"67km SE of Inarajan Village, Guam",earthquake,8,6.9,0.037,260,reviewed,us,us
2017-05-16T03:25:08.330Z,18.8621,-65.1228,51,2.58,md,3,298,0.5772,0.17,pr,pr2017136015,2017-05-18T00:27:45.506Z,"61km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,4.69,6.55,0.46,2,reviewed,pr,pr
2017-05-16T02:03:40.820Z,18.9123,-65.1565,47,2.67,md,5,283,0.6178,0.29,pr,pr2017136008,2017-05-18T02:16:09.463Z,"67km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,6.19,10.66,0.39,4,reviewed,pr,pr
